MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"C141154","CITIZENS FOR BRICE STEWART","January Quarterly Report","2015","Full Disclosure","6073.5500","12300.4100","0.0000","0.0000","12300.4100","0.0000","18373.9600","15306.9700","0.0000","0.0000","0.0000","0.0000","15306.9700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","12301.4100","0.0000","0.0000","12301.4100","1.0000","12300.4100","12301.4100","0.0000","12301.4100","0.0000","12301.4100","0.0000","0.0000","0.0000","12301.4100","0.0000","0.0000"
"C001014","CLAY COUNTY DEMOCRATIC CENTRAL COMMITTEE","January Quarterly Report","2015","Full Disclosure","17834.8100","9244.2700","0.0000","20.0000","9264.2700","0.0000","27099.0800","21961.4700","9654.0500","0.0000","0.0000","9654.0500","31615.5200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5380.6900","9264.2700","9654.0500","0.0000","9654.0500","4990.9100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C141051","FRIENDS AND SUPPORTERS OF JEFF MITTELHAUSER","January Quarterly Report","2015","Full Disclosure","12751.0000","408.1700","0.0000","0.0000","408.1700","0.0000","13159.1700","12444.5500","829.9000","0.0000","0.0000","829.9000","13274.4500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","421.7300","408.1700","829.9000","0.0000","829.9000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000938","PLATTE COUNTY DEMOCRATIC CENTRAL COMMITTEE POLITICAL PARTY COMMITTEE","January Quarterly Report","2015","Full Disclosure","16824.4600","0.0000","0.0000","0.0000","0.0000","0.0000","16824.4600","13071.0000","32.1300","0.0000","0.0000","32.1300","13103.1300","5999.0000","0.0000","0.0000","0.0000","0.0000","5999.0000","0.0000","0.0000","0.0000","0.0000","2453.7600","0.0000","32.1300","0.0000","32.1300","2421.6300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000862","AUDRAIN COUNTY DEMOCRAT CLUB","January Quarterly Report","2015","Full Disclosure","2613.5000","16.0000","0.0000","200.0000","216.0000","0.0000","2829.5000","626.2500","0.0000","0.0000","0.0000","0.0000","626.2500","1500.0000","500.0000","0.0000","0.0000","500.0000","2000.0000","0.0000","0.0000","0.0000","0.0000","1696.9000","216.0000","500.0000","0.0000","500.0000","1412.9000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C111083","LAKE OF THE OZARKS FEDERATION OF DEMOCRATIC WOMEN","AMENDED January Quarterly Report","2015","Full Disclosure","10128.5000","1201.0000","0.0000","0.0000","1201.0000","0.0000","11329.5000","1846.7700","252.4200","0.0000","0.0000","252.4200","2099.1900","3900.0000","0.0000","0.0000","0.0000","0.0000","3900.0000","0.0000","0.0000","0.0000","0.0000","2795.7300","1201.0000","252.4200","0.0000","252.4200","3744.3100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000807","CWA DISTRICT 6-POLITICAL EDUCATION COMMITTEE","January Quarterly Report","2015","Full Disclosure","193960.0000","8725.0000","0.0000","0.0000","8725.0000","0.0000","202685.0000","1869.5000","0.0000","0.0000","0.0000","0.0000","1869.5000","187930.1600","2000.0000","0.0000","0.0000","2000.0000","189930.1600","0.0000","0.0000","0.0000","0.0000","139974.7600","8725.0000","2000.0000","0.0000","2000.0000","146699.7600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C101334","FRIENDS OF WAYNE WALLINGFORD","January Quarterly Report","2015","Full Disclosure","139857.5500","60290.0000","0.0000","0.0000","60290.0000","0.0000","200147.5500","90583.1000","41785.5800","0.0000","0.0000","41785.5800","132368.6800","2200.0000","0.0000","0.0000","0.0000","0.0000","2200.0000","10000.0000","0.0000","0.0000","10000.0000","33754.1700","60290.0000","51785.5800","0.0000","51785.5800","42258.5900","40000.0000","0.0000","0.0000","0.0000","10000.0000","0.0000","30000.0000"
"C000576","REPUBLICAN WOMENS CLUB OF UNION","January Quarterly Report","2015","Full Disclosure","0.0000","115.0000","0.0000","0.0000","115.0000","0.0000","115.0000","0.0000","35.0000","0.0000","0.0000","35.0000","35.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1001.5200","115.0000","35.0000","0.0000","35.0000","1081.5200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C101602","COMMITTEE FOR A SAFE COMMUNITY","January Quarterly Report","2015","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","105.0000","0.0000","0.0000","105.0000","105.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1785.1900","0.0000","105.0000","0.0000","105.0000","1680.1900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C101043","COMMITTEE TO ELECT KENT HAMPTON","January Quarterly Report","2015","Full Disclosure","19090.0000","0.0000","0.0000","0.0000","0.0000","0.0000","19090.0000","13876.0500","1283.2800","0.0000","0.0000","1283.2800","15159.3300","500.0000","0.0000","0.0000","0.0000","0.0000","500.0000","0.0000","0.0000","0.0000","0.0000","5648.1900","0.0000","1283.2800","0.0000","1283.2800","4364.9100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C071089","LOCAL 682 TEAMSTERS PAC","January Quarterly Report","2015","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3599.8500","0.0000","0.0000","0.0000","0.0000","3599.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A121145","NOW FOR GAU","January Quarterly Report","2015","Full Disclosure","9258.4000","1108.2000","0.0000","0.0000","1108.2000","0.0000","10366.6000","3860.0000","250.0000","0.0000","0.0000","250.0000","4110.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5745.8000","1108.2000","250.0000","0.0000","250.0000","6604.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000808","CREVE COEUR TOWNSHIP DEMOCRATIC CLUB","January Quarterly Report","2015","Full Disclosure","1045.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1045.0000","226.5000","90.0000","0.0000","0.0000","90.0000","316.5000","1600.0000","0.0000","0.0000","0.0000","0.0000","1600.0000","0.0000","0.0000","0.0000","0.0000","2745.5800","0.0000","90.0000","0.0000","90.0000","2655.5800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000579","RAYTOWN DEMOCRATIC ASSOCIATION","January Quarterly Report","2015","Full Disclosure","5045.0000","456.3000","0.0000","0.0000","456.3000","0.0000","5501.3000","4138.9100","376.1200","0.0000","0.0000","376.1200","4515.0300","550.0000","0.0000","0.0000","0.0000","0.0000","550.0000","0.0000","0.0000","0.0000","0.0000","4064.7900","456.3000","376.1200","0.0000","376.1200","4144.9700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C121011","FRIENDS FOR JEFF MESSENGER","January Quarterly Report","2015","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","607.5600","0.0000","0.0000","607.5600","607.5600","0.0000","2000.0000","0.0000","0.0000","2000.0000","2000.0000","0.0000","0.0000","0.0000","0.0000","3432.1200","0.0000","2607.5600","0.0000","2607.5600","824.5600","23731.2500","0.0000","0.0000","0.0000","0.0000","0.0000","23731.2500"
"C051195","TEAMSTERS LOCAL 955 POLITICAL ACTION FUND","January Quarterly Report","2015","Full Disclosure","4683.1300","480.0000","0.0000","0.0000","480.0000","0.0000","5163.1300","145.4000","0.0000","0.0000","0.0000","0.0000","145.4000","4745.0000","0.0000","0.0000","0.0000","0.0000","4745.0000","0.0000","0.0000","0.0000","0.0000","5096.1900","480.0000","0.0000","0.0000","0.0000","5576.1900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000928","RIPLEY COUNTY DEMOCRATIC CENTRAL COMMITTEE","January Quarterly Report","2015","Full Disclosure","0.0000","169.0000","0.0000","0.0000","169.0000","0.0000","169.0000","0.0000","60.0000","0.0000","0.0000","60.0000","60.0000","0.0000","249.9900","0.0000","0.0000","249.9900","249.9900","0.0000","0.0000","0.0000","0.0000","683.1100","169.0000","309.9900","0.0000","309.9900","542.1200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C141560","VAN HOOSER FOR SPRINGFIELD","January Quarterly Report","2015","Full Disclosure","270.0000","125.0000","0.0000","0.0000","125.0000","0.0000","395.0000","170.2500","4.2300","0.0000","0.0000","4.2300","174.4800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","99.7500","125.0000","4.2300","0.0000","4.2300","220.5200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C091229","MISSOURI FEDERATION OF WOMEN'S DEMOCRATIC CLUBS","January Quarterly Report","2015","Full Disclosure","1911.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1911.0000","3897.9500","0.0000","0.0000","0.0000","0.0000","3897.9500","750.0000","0.0000","0.0000","0.0000","0.0000","750.0000","0.0000","0.0000","0.0000","0.0000","7470.8600","0.0000","0.0000","0.0000","0.0000","7470.8600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C131184","LEADERSHIP COMMITTEE","January Quarterly Report","2015","Full Disclosure","13364.7100","0.0000","0.0000","0.0000","0.0000","0.0000","13364.7100","123.0900","0.0000","0.0000","0.0000","0.0000","123.0900","2600.0000","0.0000","0.0000","0.0000","0.0000","2600.0000","0.0000","0.0000","0.0000","0.0000","10641.6200","0.0000","0.0000","0.0000","0.0000","10641.6200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000327","IBEW LOCAL UNION 1439 POLITICAL ACTION COMMITTEE","January Quarterly Report","2015","Full Disclosure","10972.6000","988.6000","0.0000","0.0000","988.6000","0.0000","11961.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","10590.0000","0.0000","0.0000","0.0000","0.0000","10590.0000","0.0000","0.0000","0.0000","0.0000","1976.1600","988.6000","0.0000","0.0000","0.0000","2964.7600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000737","JEFFERSON BANK PAC","January Quarterly Report","2015","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","100.0000","0.0000","0.0000","100.0000","100.0000","0.0000","0.0000","0.0000","0.0000","2908.0000","0.0000","100.0000","0.0000","100.0000","2808.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C001037","BARRY COUNTY REPUBLICAN COMMITTEE","January Quarterly Report","2015","Full Disclosure","3576.0000","2637.3700","0.0000","0.0000","2637.3700","0.0000","6213.3700","2297.4900","0.0000","0.0000","0.0000","0.0000","2297.4900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","10937.4200","2637.3700","0.0000","0.0000","0.0000","13574.7900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C091174","GENISE MONTECILLO FOR STATE REPRESENTATIVE ","January Quarterly Report","2015","Full Disclosure","0.0000","300.0000","0.0000","266.5400","566.5400","0.0000","566.5400","0.0000","698.2100","0.0000","0.0000","698.2100","698.2100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","49868.1300","566.5400","698.2100","0.0000","698.2100","49736.4600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C141295","CITIZENS FOR CALVERT","January Quarterly Report And Termination","2015","Full Disclosure","23579.8700","0.0000","0.0000","0.0000","0.0000","0.0000","23579.8700","21957.6000","0.0000","0.0000","0.0000","0.0000","21957.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","546.6000","0.0000","0.0000","546.6000","546.6000","0.0000","546.6000","0.0000","546.6000","0.0000","14500.0000","0.0000","0.0000","0.0000","546.6000","0.0000","13953.4000"
"C000454","CAPE GIRARDEAU DEMOCRATIC CENTRAL COMMITTEE","January Quarterly Report","2015","Full Disclosure","16094.2500","160.0000","0.0000","103.0000","263.0000","0.0000","16357.2500","12468.2000","14.0000","0.0000","0.0000","14.0000","12482.2000","2125.0000","0.0000","0.0000","0.0000","0.0000","2125.0000","0.0000","0.0000","0.0000","0.0000","5863.8300","263.0000","14.0000","0.0000","14.0000","6112.8300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C081432","CONSTITUTION PARTY OF MISSOURI","January Quarterly Report","2015","Full Disclosure","3385.1600","195.0000","0.0000","0.0000","195.0000","0.0000","3580.1600","2641.6200","69.6900","0.0000","0.0000","69.6900","2711.3100","450.0000","0.0000","0.0000","0.0000","0.0000","450.0000","0.0000","0.0000","0.0000","0.0000","1010.9600","195.0000","69.6900","0.0000","69.6900","1136.2700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
