MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"A121235","COMMITTEE TO RE-ELECT BETTY COX PUBLIC ADMINISTRATOR","January Quarterly Report","2013","Full Disclosure","6750.0000","0.0000","0.0000","0.0000","0.0000","0.0000","6750.0000","6646.6500","98.7000","0.0000","0.0000","98.7000","6745.3500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","4.6500","0.0000","0.0000","4.6500","103.3500","0.0000","103.3500","0.0000","103.3500","0.0000","4900.0000","0.0000","0.0000","0.0000","4.6500","0.0000","4895.3500"
"C121464","COMMITTEE TO ELECT TOMMIE PIERSON SR","January Quarterly Report","2013","Full Disclosure","0.0000","12142.3400","0.0000","0.0000","12142.3400","0.0000","12142.3400","0.0000","200.0000","0.0000","0.0000","200.0000","200.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","12142.3400","0.0000","200.0000","200.0000","11942.3400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000996","FRANKLIN COUNTY REPUBLICAN CENTRAL COMMITTEE","January Quarterly Report","2013","Full Disclosure","0.0000","0.0000","0.0000","280.4000","280.4000","0.0000","280.4000","0.0000","900.0000","0.0000","0.0000","900.0000","900.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","6704.7900","280.4000","900.0000","0.0000","900.0000","6085.1900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A121253","FRIENDS OF CHARLIE HERBST","January Quarterly Report","2013","Full Disclosure","0.0000","0.0000","0.0000","7.2600","7.2600","0.0000","7.2600","100.0000","0.0000","0.0000","0.0000","0.0000","100.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","74.4700","7.2600","0.0000","0.0000","0.0000","81.7300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A121363","CITIZENS FOR EQUITY","January Quarterly Report","2013","Full Disclosure","29036.0000","0.0000","0.0000","0.0000","0.0000","0.0000","29036.0000","21206.4000","2043.6000","0.0000","0.0000","2043.6000","23250.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2043.6000","0.0000","2043.6000","0.0000","2043.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C111143","CITIZENS FOR SOMMER","January Quarterly Report","2013","Full Disclosure","0.0000","270.0000","0.0000","0.0000","270.0000","0.0000","270.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","50.0000","0.0000","50.0000","7659.1200","270.0000","50.0000","0.0000","50.0000","7879.1200","50.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000387","ST CHARLES COUNTY REPUBLICAN CENTRAL COMMITTEE","January Quarterly Report","2013","Full Disclosure","49076.2400","520.0000","0.0000","70.8200","590.8200","0.0000","49667.0600","35001.7700","737.3800","0.0000","0.0000","737.3800","35739.1500","13536.3500","0.0000","0.0000","0.0000","0.0000","13536.3500","0.0000","107.5500","0.0000","107.5500","6952.4800","590.8200","844.9300","0.0000","844.9300","6698.3700","791.5500","0.0000","0.0000","0.0000","0.0000","684.0000","0.0000"
"C101457","MISSOURI FARMERS CARE","January Quarterly Report","2013","Full Disclosure","80016.0800","2650.0000","0.0000","0.0000","2650.0000","0.0000","82666.0800","52227.8200","19532.6200","0.0000","0.0000","19532.6200","71760.4400","6000.0000","0.0000","0.0000","0.0000","0.0000","6000.0000","0.0000","764.2700","0.0000","764.2700","62942.2400","2650.0000","20296.8900","0.0000","20296.8900","45295.3500","764.2700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C091243","FRIENDS TO ELECT BILL LANT","January Quarterly Report","2013","Full Disclosure","56428.9200","150.0000","0.0000","0.0000","150.0000","0.0000","56578.9200","34205.8600","910.0000","0.0000","0.0000","910.0000","35115.8600","16975.0100","0.0000","0.0000","0.0000","0.0000","16975.0100","0.0000","0.0000","0.0000","0.0000","4481.0000","150.0000","910.0000","0.0000","910.0000","3721.0000","5400.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5400.0000"
"C010217","CAMDEN COUNTY REPUBLICAN CLUB","January Quarterly Report","2013","Full Disclosure","48925.6600","0.0000","0.0000","822.0100","822.0100","0.0000","49747.6700","36276.4300","725.0000","0.0000","0.0000","725.0000","37001.4300","4393.0000","0.0000","0.0000","0.0000","0.0000","4393.0000","0.0000","0.0000","0.0000","0.0000","3591.9000","822.0100","725.0000","0.0000","725.0000","3688.9100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
